latex;natural language
0-0;zero minus zero
0-0;subtract zero from zero
0-1;zero minus one
0-1;subtract one from zero
0-2;zero minus two
0-2;subtract two from zero
0-3;zero minus three
0-3;subtract three from zero
0-4;zero minus four
0-4;subtract four from zero
0-5;zero minus five
0-5;subtract five from zero
0-6;zero minus six
0-6;subtract six from zero
0-7;zero minus seven
0-7;subtract seven from zero
0-8;zero minus eight
0-8;subtract eight from zero
0-9;zero minus nine
0-9;subtract nine from zero
0-x;zero minus x
0-x;subtract x from zero
0-y;zero minus y
0-y;subtract y from zero
0-z;zero minus z
0-z;subtract z from zero
1-0;one minus zero
1-0;subtract zero from one
1-1;one minus one
1-1;subtract one from one
1-2;one minus two
1-2;subtract two from one
1-3;one minus three
1-3;subtract three from one
1-4;one minus four
1-4;subtract four from one
1-5;one minus five
1-5;subtract five from one
1-6;one minus six
1-6;subtract six from one
1-7;one minus seven
1-7;subtract seven from one
1-8;one minus eight
1-8;subtract eight from one
1-9;one minus nine
1-9;subtract nine from one
1-x;one minus x
1-x;subtract x from one
1-y;one minus y
1-y;subtract y from one
1-z;one minus z
1-z;subtract z from one
2-0;two minus zero
2-0;subtract zero from two
2-1;two minus one
2-1;subtract one from two
2-2;two minus two
2-2;subtract two from two
2-3;two minus three
2-3;subtract three from two
2-4;two minus four
2-4;subtract four from two
2-5;two minus five
2-5;subtract five from two
2-6;two minus six
2-6;subtract six from two
2-7;two minus seven
2-7;subtract seven from two
2-8;two minus eight
2-8;subtract eight from two
2-9;two minus nine
2-9;subtract nine from two
2-x;two minus x
2-x;subtract x from two
2-y;two minus y
2-y;subtract y from two
2-z;two minus z
2-z;subtract z from two
3-0;three minus zero
3-0;subtract zero from three
3-1;three minus one
3-1;subtract one from three
3-2;three minus two
3-2;subtract two from three
3-3;three minus three
3-3;subtract three from three
3-4;three minus four
3-4;subtract four from three
3-5;three minus five
3-5;subtract five from three
3-6;three minus six
3-6;subtract six from three
3-7;three minus seven
3-7;subtract seven from three
3-8;three minus eight
3-8;subtract eight from three
3-9;three minus nine
3-9;subtract nine from three
3-x;three minus x
3-x;subtract x from three
3-y;three minus y
3-y;subtract y from three
3-z;three minus z
3-z;subtract z from three
4-0;four minus zero
4-0;subtract zero from four
4-1;four minus one
4-1;subtract one from four
4-2;four minus two
4-2;subtract two from four
4-3;four minus three
4-3;subtract three from four
4-4;four minus four
4-4;subtract four from four
4-5;four minus five
4-5;subtract five from four
4-6;four minus six
4-6;subtract six from four
4-7;four minus seven
4-7;subtract seven from four
4-8;four minus eight
4-8;subtract eight from four
4-9;four minus nine
4-9;subtract nine from four
4-x;four minus x
4-x;subtract x from four
4-y;four minus y
4-y;subtract y from four
4-z;four minus z
4-z;subtract z from four
5-0;five minus zero
5-0;subtract zero from five
5-1;five minus one
5-1;subtract one from five
5-2;five minus two
5-2;subtract two from five
5-3;five minus three
5-3;subtract three from five
5-4;five minus four
5-4;subtract four from five
5-5;five minus five
5-5;subtract five from five
